text,name,cr,size,type,tags,section,alignment,environment,ac,hp,init,lair?,legendary?,unique?,sources
apoc.crushing-wave-reaver,Crushing Wave Reaver,0.25,Medium,Humanoid,Human,Crushing Wave Cultists,neutral evil,"aquatic, cave, coast, grassland, swamp, underground",14,22,2,,,,Princes of the Apocalypse: 205
mm.cult-fanatic,Cult Fanatic,2,Medium,Humanoid,any,NPCs,non-good,"dungeon, urban",13,33,2,,,,"Monster Manual: 345, Princes of the Apocalypse Online Supplement v1.0: 12"
mm.cultist,Cultist,0.125,Medium,Humanoid,any,NPCs,non-good,"dungeon, urban",12,9,1,,,,"Basic Rules v1: 54, HotDQ supplement: 7, Monster Manual: 345"
mm.cyclops,Cyclops,6,Huge,Giant,,,chaotic neutral,"cave, coast, grassland, mountain, ruins, swamp",14,138,0,,,,"Basic Rules v1: 16, Monster Manual: 45"
mm.dao,Dao,11,Large,Elemental,,Genies,neutral evil,"cave, dungeon, mountain, planar, underground",18,187,1,,,,"Monster Manual: 143, Princes of the Apocalypse Online Supplement v1.0: 13"
apoc.dark-tide-knight,Dark Tide Knight,3,Medium,Humanoid,Human,Crushing Wave Cultists,lawful evil,"aquatic, cave, coast, grassland, swamp, underground",13,58,3,,,,Princes of the Apocalypse: 205
volo.darkling,Darkling,0.25,Small,Fey,,Darklings,chaotic neutral,"forest, swamp, underground, urban",14,13,3,,,,Volo's Guide to Monsters: 134
volo.darkling-elder,Darkling Elder,2,Medium,Fey,,Darklings,chaotic neutral,"forest, swamp, underground, urban",15,27,3,,,,Volo's Guide to Monsters: 134
mm.darkmantle,Darkmantle,0.25,Small,Monstrosity,,,unaligned,"cave, underground",11,22,1,,,,"Monster Manual: 46, Princes of the Apocalypse Online Supplement v1.0: 13"
mm.death-dog,Death Dog,1,Medium,Monstrosity,,Misc Creatures,neutral evil,"desert, grassland, underground",12,39,2,,,,"Basic Rules v1: 16, Monster Manual: 321"
volo.death-kiss,Death Kiss,10,Large,Aberration,,Beholders,neutral evil,underground,16,161,2,,,,Volo's Guide to Monsters: 124
mm.death-knight,Death Knight,17,Medium,Undead,,,chaotic evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban",20,180,0,,,,Monster Manual: 47
mm.death-slaad,Death Slaad,10,Medium,Aberration,Shapechanger,Slaadi,chaotic evil,planar,18,170,2,,,,Monster Manual: 278
mm.death-tyrant,Death Tyrant,14,Large,Undead,,Beholders,lawful evil,"cave, dungeon, underground",19,187,2,,legendary,,Monster Manual: 29
mm.death-tyrant-in-lair,Death Tyrant (in lair),15,Large,Undead,,Beholders,lawful evil,"cave, dungeon, underground",19,187,2,lair,legendary,,Monster Manual: 29
mtof.deathlock,Deathlock,4,Medium,Undead,,,neutral evil,,12,36,2,,,,Mordenkainen's Tome of Foes: 128
mtof.deathlock-mastermind,Deathlock Mastermind,8,Medium,Undead,,,neutral evil,,13,110,3,,,,Mordenkainen's Tome of Foes: 129
mtof.deathlock-wight,Deathlock Wight,3,Medium,Undead,,,neutral evil,,12,37,2,,,,Mordenkainen's Tome of Foes: 129
tftyp.deathlock-wight,Deathlock Wight,3,Medium,Undead,,,neutral evil,,12,37,2,,,,Tales from the Yawning Portal: 233
tortle.decapus,Decapus,4,Large,Monstrosity,,,unaligned,,14,75,2,,,,The Tortle Package: 21
mm.deep-gnome-svirfneblin,Deep Gnome (Svirfneblin),0.25,Small,Humanoid,Gnome,"Gnome, Deep (Svirfneblin)",neutral good,"cave, dungeon, planar, underground",15,16,2,,,,"Monster Manual: 164, Princes of the Apocalypse Online Supplement v1.0: 13"
volo.deep-scion,Deep Scion,3,Medium,Humanoid,Shapechanger,,neutral evil,"coast, aquatic",11,67,1,,,,Volo's Guide to Monsters: 135
mm.deer,Deer,0,Medium,Beast,,Misc Creatures,unaligned,"forest, grassland",13,4,3,,,,"Basic Rules v1: 16, HotDQ supplement: 7, Monster Manual: 321"
volo.deinonychus,Deinonychus,1,Medium,Beast,,Dinosaurs,unaligned,"forest, grassland",13,26,2,,,,"Volo's Guide to Monsters: 139, Tomb of Annihilation: 217"
mm.demilich,Demilich,18,Tiny,Undead,,,neutral evil,dungeon,20,80,5,,legendary,,Monster Manual: 48
mm.demilich-acererak-in-lair,Demilich (Acererak in lair),23,Tiny,Undead,,,neutral evil,,20,80,5,lair,legendary,unique,Monster Manual: 49
mm.demilich-acererak,Demilich (Acererak),21,Tiny,Undead,,,neutral evil,,20,80,5,,legendary,unique,Monster Manual: 49
mm.demilich-in-lair,Demilich (in lair),20,Tiny,Undead,,,neutral evil,dungeon,20,80,5,lair,legendary,,Monster Manual: 48
abyss.demogorgon,Demogorgon,26,Huge,Fiend,Demon,Demon Lords,chaotic evil,,22,496,2,,legendary,unique,Out of the Abyss: 236
mtof.demogorgon,Demogorgon,26,Huge,Fiend,Demon,Demon Lords,chaotic evil,planar,22,406,2,lair,legendary,unique,Mordenkainen's Tome of Foes: 144
abyss.derro,Derro,0.5,Small,Humanoid,Derro,,chaotic evil,underground,13,13,2,,,,Out of the Abyss: 224
mtof.derro,Derro,0.5,Small,Humanoid,Derro,Derro,chaotic evil,"underground, urban",13,13,2,,,,Mordenkainen's Tome of Foes: 158
abyss.derro-savant,Derro Savant,3,Small,Humanoid,Derro,,chaotic evil,underground,13,49,2,,,,Out of the Abyss: 225
mtof.derro-savant,Derro Savant,3,Small,Humanoid,Derro,Derro,chaotic evil,"underground, urban",13,36,2,,,,Mordenkainen's Tome of Foes: 159
mm.deva,Deva,10,Medium,Celestial,,Angels,lawful good,planar,17,136,4,,,,Monster Manual: 16
volo.devourer,Devourer,13,Large,Fiend,,,chaotic evil,underground,16,178,1,,,,Volo's Guide to Monsters: 138
mtof.dhergoloth,Dhergoloth,7,Medium,Fiend,Yugoloth,Yugoloths,neutral evil,planar,15,119,0,,,,Mordenkainen's Tome of Foes: 248
volo.dimetrodon,Dimetrodon,0.5,Medium,Beast,,Dinosaurs,unaligned,swamp,12,19,0,,,,"Volo's Guide to Monsters: 139, Tomb of Annihilation: 217"
mtof.dire-troll,Dire Troll,13,Huge,Giant,,Trolls,chaotic evil,"dungeon, forest, mountain, ruins, swamp",15,172,2,,,,Mordenkainen's Tome of Foes: 243
mm.dire-wolf,Dire Wolf,1,Large,Beast,,Misc Creatures,unaligned,"arctic, cave, forest, grassland",14,37,2,,,,"Basic Rules v1: 16, Monster Manual: 321, Player's Handbook: 305"
mm.displacer-beast,Displacer Beast,3,Large,Monstrosity,,,lawful evil,"forest, grassland",13,85,2,,,,Monster Manual: 81
volo.diviner,Diviner,8,Medium,Humanoid,Any Race,NPCs,any,urban,12,67,2,,,,Volo's Guide to Monsters: 213
mm.djinni,Djinni,11,Large,Elemental,,Genies,chaotic good,"arctic, coast, dungeon, grassland, planar",17,161,2,,,,"Monster Manual: 144, Princes of the Apocalypse Online Supplement v1.0: 14"
volo.dolphin,Dolphin,0.125,Medium,Beast,,,unaligned,"coast, aquatic",12,11,1,,,,Volo's Guide to Monsters: 208
mm.doppelganger,Doppelganger,3,Medium,Monstrosity,Shapechanger,,neutral,"dungeon, ruins, urban",14,52,4,,,,"Basic Rules v1: 17, HotDQ supplement: 8, Monster Manual: 82"
volo.draegloth,Draegloth,7,Large,Fiend,Demon,,chaotic evil,underground,15,123,2,,,,Volo's Guide to Monsters: 141
mm.draft-horse,Draft Horse,0.5,Large,Beast,,Misc Creatures,unaligned,urban,10,19,0,,,,"Basic Rules v1: 17, Monster Manual: 321"
mm.dragon-turtle,Dragon Turtle,17,Gargantuan,Dragon,,,neutral,aquatic,20,341,0,,,,"Monster Manual: 119, Princes of the Apocalypse Online Supplement v1.0: 14"
toa.dragonbait,Dragonbait,5,Medium,Humanoid,Saurial,,lawful good,,17,120,1,,,unique,Tomb of Annihilation: 218
hoard.dragonclaw,Dragonclaw,1,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",14,16,3,,,,"Hoard of the Dragon Queen: 89, Rise of Tiamat: 89"
tiamat.dragonfang,Dragonfang,5,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",15,78,3,,,,Rise of Tiamat: 89
tiamat.dragonsoul,Dragonsoul,7,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",16,110,4,,,,Rise of Tiamat: 89
hoard.dragonwing,Dragonwing,2,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",14,32,3,,,,Hoard of the Dragon Queen: 89
tiamat.dragonwing,Dragonwing,2,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",14,33,3,,,,Rise of Tiamat: 90
hoard.dralmorrer-borngray,Dralmorrer Borngray,3,Medium,Humanoid,High-elf,,neutral evil,,16,52,2,,,unique,Hoard of the Dragon Queen: 90
apoc.drannin-splithelm,Drannin Splithelm,7,Medium,Humanoid,Shield dwarf,Other Villains,neutral evil,,18,93,0,,,unique,Princes of the Apocalypse: 210
tftyp.dread-warrior,Dread Warrior,1,Medium,Undead,,,neutral evil,,18,37,0,,,,Tales from the Yawning Portal: 233
mm.dretch,Dretch,0.5,Small,Fiend,Demon,Demons,chaotic evil,"dungeon, planar",11,18,0,,,,Monster Manual: 57
mm.drider,Drider,6,Large,Monstrosity,,,chaotic evil,"dungeon, underground",19,123,3,,,,Monster Manual: 120
abyss.droki,Droki,2,Small,Humanoid,Derro,,chaotic evil,,15,31,3,,,unique,Out of the Abyss: 231
mm.drow,Drow,0.5,Medium,Humanoid,Elf,Elves: Drow,neutral evil,"dungeon, underground, urban",15,13,2,,,,Monster Manual: 128
mtof.drow-arachnomancer,Drow Arachnomancer,13,Medium,Humanoid,Elf,Drow,chaotic evil,"underground, urban",15,162,3,,,,Mordenkainen's Tome of Foes: 182
mm.drow-elite-warrior,Drow Elite Warrior,5,Medium,Humanoid,Elf,Elves: Drow,neutral evil,"dungeon, underground, urban",18,71,4,,,,Monster Manual: 128
mtof.drow-favored-consort,Drow Favored Consort,18,Medium,Humanoid,Elf,Drow,chaotic evil,"underground, urban",15,225,5,,,,Mordenkainen's Tome of Foes: 183
mtof.drow-house-captain,Drow House Captain,9,Medium,Humanoid,Elf,Drow,chaotic evil,"underground, urban",16,162,4,,,,Mordenkainen's Tome of Foes: 184
mtof.drow-inquisitor,Drow Inquisitor,14,Medium,Humanoid,Elf,Drow,chaotic evil,"underground, urban",16,143,2,,,,Mordenkainen's Tome of Foes: 184
mm.drow-mage,Drow Mage,7,Medium,Humanoid,Elf,Elves: Drow,neutral evil,"dungeon, underground, urban",12,45,2,,,,"Monster Manual: 129, Princes of the Apocalypse Online Supplement v1.0: 15"
mtof.drow-matron-mother,Drow Matron Mother,20,Medium,Humanoid,Elf,Drow,chaotic evil,"underground, urban",17,262,4,,legendary,,Mordenkainen's Tome of Foes: 186
mm.drow-priestess-of-lolth,Drow Priestess of Lolth,8,Medium,Humanoid,Elf,Elves: Drow,neutral evil,"dungeon, underground, urban",16,71,2,,,,Monster Manual: 129
mtof.drow-shadowblade,Drow Shadowblade,11,Medium,Humanoid,Elf,Drow,chaotic evil,"underground, urban",17,150,5,,,,Mordenkainen's Tome of Foes: 187
abyss.drow-spore-servant,Drow Spore Servant,0.125,Medium,Plant,,,unaligned,,15,13,2,,,,Out of the Abyss: 229
mm.druid,Druid,2,Medium,Humanoid,any,NPCs,any,"arctic, cave, coast, desert, forest, grassland, mountain, swamp, underground",11,27,1,,,,"Monster Manual: 346, Princes of the Apocalypse Online Supplement v1.0: 15"
mm.dryad,Dryad,1,Medium,Fey,,,neutral,forest,11,22,1,,,,Monster Manual: 121
mm.duergar,Duergar,1,Medium,Humanoid,Dwarf,,lawful evil,"dungeon, underground",16,26,0,,,,"Monster Manual: 122, Princes of the Apocalypse Online Supplement v1.0: 16"
mtof.duergar-despot,Duergar Despot,12,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",21,119,-3,,,,Mordenkainen's Tome of Foes: 188
mtof.duergar-hammerer,Duergar Hammerer,2,Medium,Construct,,Duergar,lawful evil,"underground, urban",17,33,-2,,,,Mordenkainen's Tome of Foes: 188
mtof.duergar-kavalrachni,Duergar Kavalrachni,2,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",16,26,0,,,,Mordenkainen's Tome of Foes: 189
mtof.duergar-mind-master,Duergar Mind Master,2,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",14,39,3,,,,Mordenkainen's Tome of Foes: 189
mtof.duergar-screamer,Duergar Screamer,3,Medium,Construct,,Duergar,lawful evil,"underground, urban",15,38,-2,,,,Mordenkainen's Tome of Foes: 190
abyss.duergar-soulblade,Duergar Soulblade,1,Medium,Humanoid,Dwarf,,lawful evil,,14,18,3,,,,Out of the Abyss: 227
mtof.duergar-soulblade,Duergar Soulblade,1,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",14,18,3,,,,Mordenkainen's Tome of Foes: 190
abyss.duergar-spore-servant,Duergar Spore Servant,0.25,Medium,Plant,,,unaligned,,16,26,0,,,,Out of the Abyss: 229
tftyp.duergar-spy,Duergar Spy,2,Medium,Humanoid,Dwarf,,lawful evil,,15,33,3,,,,Tales from the Yawning Portal: 234
abyss.duergar-stone-guard,Duergar Stone Guard,2,Medium,Humanoid,Dwarf,,lawful evil,,18,39,0,,,,Out of the Abyss: 227
mtof.duergar-stone-guard,Duergar Stone Guard,2,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",18,39,0,,,,Mordenkainen's Tome of Foes: 191
mtof.duergar-warlord,Duergar Warlord,6,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",20,75,0,,,,Mordenkainen's Tome of Foes: 192
abyss.duergar-xarrorn,Duergar Xarrorn,2,Medium,Humanoid,Dwarf,,lawful evil,,18,26,0,,,,Out of the Abyss: 228
mtof.duergar-xarrorn,Duergar Xarrorn,2,Medium,Humanoid,Dwarf,Duergar,lawful evil,"underground, urban",18,26,0,,,,Mordenkainen's Tome of Foes: 193
mm.duodrone,Duodrone,0.5,Medium,Construct,,Modrons,lawful neutral,planar,15,11,1,,,,Monster Manual: 225
mm.dust-mephit,Dust Mephit,0.25,Small,Elemental,,Mephits,neutral evil,"dungeon, planar, ruins, urban",12,17,2,,,,"Monster Manual: 215, Princes of the Apocalypse Online Supplement v1.0: 16"
mtof.dybbuk,Dybbuk,4,Medium,Fiend,Demon,Demons,chaotic evil,planar,14,37,4,,,,Mordenkainen's Tome of Foes: 132
mm.eagle,Eagle,0,Small,Beast,,Misc Creatures,unaligned,"arctic, grassland, mountain",12,3,2,,,,"Basic Rules v1: 17, Monster Manual: 322"
mm.earth-elemental,Earth Elemental,5,Large,Elemental,,Elementals,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",17,126,-1,,,,"Basic Rules v1: 17, Monster Manual: 124"
apoc.earth-elemental-myrmidon,Earth Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",18,127,0,,,,Princes of the Apocalypse: 212
mtof.earth-elemental-myrmidon,Earth Elemental Myrmidon,7,Medium,Elemental,,Elder Myrmidons,neutral,planar,18,127,0,,,,Mordenkainen's Tome of Foes: 202
toa.eblis,Eblis,1,Large,Monstrosity,,,neutral evil,,13,26,3,,,,Tomb of Annihilation: 219
mm.efreeti,Efreeti,11,Large,Elemental,,Genies,lawful evil,"desert, dungeon, mountain, planar",17,200,1,,,,"Monster Manual: 145, Princes of the Apocalypse Online Supplement v1.0: 16"
mtof.eidolon,Eidolon,12,Medium,Undead,,,any,"dungeon, ruins",9,63,-1,,,,Mordenkainen's Tome of Foes: 194
volo.elder-brain,Elder Brain,14,Large,Aberration,,Mind Flayers,lawful evil,underground,10,210,0,,,,Volo's Guide to Monsters: 173
mtof.elder-oblex,Elder Oblex,10,Huge,Ooze,,Oblex,lawful evil,underground,16,115,3,,,,Mordenkainen's Tome of Foes: 219
mtof.elder-tempest,Elder Tempest,23,Gargantuan,Elemental,,Elder Elementals,neutral,planar,19,264,9,,legendary,,Mordenkainen's Tome of Foes: 200
mm.elephant,Elephant,4,Huge,Beast,,Misc Creatures,unaligned,grassland,12,76,-1,,,,"Basic Rules v1: 18, Monster Manual: 322"
apoc.elizar-dryflagon,Elizar Dryflagon,5,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,,14,71,2,,,unique,Princes of the Apocalypse: 202
mm.elk,Elk,0.5,Large,Beast,,Misc Creatures,unaligned,"forest, grassland",10,13,0,,,,"Basic Rules v1: 18, HotDQ supplement: 8, Monster Manual: 322"
mm.empyrean,Empyrean,23,Huge,Celestial,Titan,,chaotic good (75%) or neutral evil (25%),planar,22,313,5,,legendary,,Monster Manual: 130
volo.enchanter,Enchanter,5,Medium,Humanoid,Any Race,NPCs,any,urban,12,40,2,,,,"Volo's Guide to Monsters: 213, Tales from the Yawning Portal: 234"
mm.erinyes,Erinyes,12,Medium,Fiend,Devil,Devils,lawful evil,"dungeon, planar",18,153,3,,,,Monster Manual: 73
apoc.eternal-flame-guardian,Eternal Flame Guardian,2,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",17,45,1,,,,Princes of the Apocalypse: 200
apoc.eternal-flame-priest,Eternal Flame Priest,3,Medium,Humanoid,Human,Eternal Flame Cultists,neutral evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",12,52,2,,,,Princes of the Apocalypse: 200
mm.ettercap,Ettercap,2,Medium,Monstrosity,,,neutral evil,"cave, dungeon, forest, ruins, swamp, underground",13,44,2,,,,"HotDQ supplement: 9, Monster Manual: 131"
mm.ettin,Ettin,4,Large,Giant,,,chaotic evil,"cave, grassland, mountain, swamp",12,85,-1,,,,"Monster Manual: 132, Princes of the Apocalypse Online Supplement v1.0: 17"
volo.evoker,Evoker,9,Medium,Humanoid,Any Race,NPCs,any,urban,12,66,2,,,,"Volo's Guide to Monsters: 214, Tales from the Yawning Portal: 235"
strahd.ezmerelda-davenir,Ezmerelda d'Avenir,8,Medium,Humanoid,Human,,chaotic good,,17,82,4,,,,Curse of Strahd: 231
mm.faerie-dragon-blue,Faerie Dragon (blue),2,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
mm.faerie-dragon-green,Faerie Dragon (green),2,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
mm.faerie-dragon-indigo,Faerie Dragon (indigo),2,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
mm.faerie-dragon-orange,Faerie Dragon (orange),1,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
mm.faerie-dragon-red,Faerie Dragon (red),1,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
mm.faerie-dragon-violet,Faerie Dragon (violet),2,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
mm.faerie-dragon-yellow,Faerie Dragon (yellow),1,Tiny,Dragon,,,chaotic good,"forest, grassland, mountain, ruins, swamp",15,14,5,,,,Monster Manual: 133
apoc.fathomer,Fathomer,2,Medium,Humanoid,Human,Crushing Wave Cultists,neutral evil,"aquatic, cave, coast, grassland, swamp, underground",10,52,0,,,,Princes of the Apocalypse: 207
apoc.feathergale-knight,Feathergale knight,1,Medium,Humanoid,Human,Howling Hatred Cultists,lawful evil,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins",16,33,2,,,,Princes of the Apocalypse: 189
abyss.female-steeder,Female Steeder,1,Large,Beast,,,unaligned,,14,30,3,,,,Out of the Abyss: 231
mtof.female-steeder,Female Steeder,1,Large,Monstrosity,,Steeder,unaligned,"cave, underground",14,30,3,,,,Mordenkainen's Tome of Foes: 238
mm.fire-elemental,Fire Elemental,5,Large,Elemental,,Elementals,neutral,"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, underground",13,102,3,,,,"Basic Rules v1: 18, Monster Manual: 125"
apoc.fire-elemental-myrmidon,Fire Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, swamp, underground, urban",18,117,4,,,,Princes of the Apocalypse: 213
mtof.fire-elemental-myrmidon,Fire Elemental Myrmidon,7,Medium,Elemental,,Elder Myrmidons,neutral,planar,18,123,4,,,,Mordenkainen's Tome of Foes: 203
mm.fire-giant,Fire Giant,9,Huge,Giant,,Giants,lawful evil,"mountain, planar",18,162,-1,,,,"Basic Rules v1: 19, Monster Manual: 154"
volo.fire-giant-dreadnought,Fire Giant Dreadnought,14,Huge,Giant,Fire Giant,Giants,lawful evil,"mountain, underground",21,187,-1,,,,Volo's Guide to Monsters: 147
mm.fire-snake,Fire Snake,1,Medium,Elemental,,Salamanders,neutral evil,"forest, planar",14,22,2,,,,"Monster Manual: 265, Princes of the Apocalypse Online Supplement v1.0: 17"
volo.firenewt-warlock-of-imix,Firenewt Warlock of Imix,1,Medium,Humanoid,Firenewt,Firenewts,neutral evil,"grassland, mountain, underground",10,33,0,,,,"Volo's Guide to Monsters: 143, Tomb of Annihilation: 219"
volo.firenewt-warrior,Firenewt Warrior,0.25,Medium,Humanoid,Firenewt,Firenewts,neutral evil,"grassland, mountain, underground",16,22,1,,,,"Volo's Guide to Monsters: 142, Tomb of Annihilation: 219"
volo.flail-snail,Flail Snail,3,Large,Elemental,,,unaligned,"forest, swamp, underground",16,52,-3,,,,"Volo's Guide to Monsters: 144, Tomb of Annihilation: 220"
mm.flameskull,Flameskull,4,Tiny,Undead,,,neutral evil,"dungeon, ruins",13,40,3,,,,"Basic Rules v1: 19, Monster Manual: 134"
apoc.flamewrath,Flamewrath,6,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",12,105,2,,,,Princes of the Apocalypse: 201
mm.flesh-golem,Flesh Golem,5,Medium,Construct,,Golems,unaligned,"dungeon, ruins",9,93,-1,,,,"Basic Rules v1: 20, Monster Manual: 169"
volo.flind,Flind,9,Medium,Humanoid,Gnoll,Gnolls,chaotic evil,"arctic, forest, grassland",16,127,0,,,,Volo's Guide to Monsters: 153
mm.flumph,Flumph,0.125,Small,Aberration,,,lawful good,"dungeon, underground",12,7,2,,,,Monster Manual: 135
toa.flying-monkey,Flying Monkey,0,Small,Beast,,,unaligned,,12,3,2,,,,Tomb of Annihilation: 220
mm.flying-snake,Flying Snake,0.125,Tiny,Beast,,Misc Creatures,unaligned,"forest, swamp",14,5,4,,,,"Basic Rules v1: 20, Monster Manual: 322"
mm.flying-sword,Flying Sword,0.5,Small,Construct,,Animated Objects,unaligned,"dungeon, ruins, urban",17,17,2,,,,"Basic Rules v1: 20, Monster Manual: 20"
mm.fomorian,Fomorian,8,Huge,Giant,,,chaotic evil,"cave, underground",14,149,0,,,,Monster Manual: 136
abyss.fraz-urbluu,Fraz-Urb'luu,23,Large,Fiend,Demon,Demon Lords,chaotic evil,,18,350,1,,legendary,unique,Out of the Abyss: 238
mtof.fraz-urbluu,Fraz-Urb'luu,23,Large,Fiend,Demon,Demon Lords,chaotic evil,planar,18,337,1,,legendary,unique,Mordenkainen's Tome of Foes: 146
mtof.fraz-urbluu-in-lair,Fraz-Urb'luu (in lair),24,Large,Fiend,Demon,Demon Lords,chaotic evil,planar,18,337,1,lair,legendary,unique,Mordenkainen's Tome of Foes: 146
mm.frog,Frog,0,Tiny,Beast,,Misc Creatures,unaligned,"aquatic, coast, forest, swamp",11,1,1,,,,"Basic Rules v1: 21, Monster Manual: 322, Player's Handbook: 305"
volo.froghemoth,Froghemoth,10,Huge,Monstrosity,,,unaligned,"swamp, underground",14,184,1,,,,"Volo's Guide to Monsters: 145, Tomb of Annihilation: 221"
mm.frost-giant,Frost Giant,8,Huge,Giant,,Giants,neutral evil,"arctic, mountain, planar",15,138,-1,,,,"Basic Rules v1: 21, Monster Manual: 155"
volo.frost-giant-everlasting-one,Frost Giant Everlasting One,12,Huge,Giant,Frost Giant,Giants,chaotic evil,"arctic, coast",15,189,-1,,,,Volo's Guide to Monsters: 148
mtof.frost-salamander,Frost Salamander,9,Huge,Elemental,,,unaligned,planar,17,168,1,,,,Mordenkainen's Tome of Foes: 223
hoard.frulam-mondath,Frulam Mondath,2,Medium,Humanoid,Human,,lawful evil,,16,44,0,,,unique,Hoard of the Dragon Queen: 90
mm.galeb-duhr,Galeb Duhr,6,Medium,Elemental,,,neutral,"cave, dungeon, mountain, planar, underground",16,85,2,,,,"Monster Manual: 139, Princes of the Apocalypse Online Supplement v1.0: 17"
apoc.gar-shatterkeel,Gar Shatterkeel,9,Medium,Humanoid,Human,Crushing Wave Cultists,chaotic evil,,16,112,2,,,unique,Princes of the Apocalypse: 208
apoc.gar-shatterkeel-in-lair,Gar Shatterkeel (in lair),13,Medium,Humanoid,Human,Crushing Wave Cultists,chaotic evil,,16,112,2,,,unique,Princes of the Apocalypse: 208
mm.gargoyle,Gargoyle,2,Medium,Elemental,,,chaotic evil,"dungeon, urban",15,52,0,,,,"Basic Rules v1: 21, HotDQ supplement: 9, Monster Manual: 140"
mm.gas-spore,Gas Spore,0.25,Large,Plant,,Fungi,unaligned,"cave, dungeon, underground",5,1,-5,,,,Monster Manual: 138
volo.gauth,Gauth,6,Medium,Aberration,,Beholders,lawful evil,underground,15,67,2,,,,Volo's Guide to Monsters: 125
volo.gazer,Gazer,0.25,Tiny,Aberration,,Beholders,neutral evil,underground,13,13,3,,,,Volo's Guide to Monsters: 126
mm.gelatinous-cube,Gelatinous Cube,2,Large,Ooze,,Oozes,unaligned,dungeon,6,84,-4,,,,Monster Manual: 242
tortle.geonid,Geonid,0.5,Small,Elemental,,,neutral,cave,17,26,0,,,,The Tortle Package: 22
mtof.geryon,Geryon,22,Huge,Fiend,Devil,Archdevils,lawful evil,planar,19,300,3,lair,legendary,unique,Mordenkainen's Tome of Foes: 173
apoc.ghald,Ghald,7,Medium,Humanoid,Sahuagin,Other Villains,lawful evil,,15,102,3,,,unique,Princes of the Apocalypse: 210
mm.ghast,Ghast,2,Medium,Undead,,Ghouls,chaotic evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban",13,36,3,,,,"Monster Manual: 148, Princes of the Apocalypse Online Supplement v1.0: 18"
mm.ghost,Ghost,4,Medium,Undead,,,any,"cave, dungeon, ruins, swamp, underground, urban",11,45,1,,,,"Basic Rules v1: 22, Monster Manual: 147"
mm.ghoul,Ghoul,1,Medium,Undead,,Ghouls,chaotic evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban",12,22,2,,,,"Basic Rules v1: 22, Monster Manual: 148"
mm.giant-ape,Giant Ape,7,Huge,Beast,,Misc Creatures,unaligned,forest,12,157,2,,,,"Basic Rules v1: 22, Monster Manual: 323"
mm.giant-badger,Giant Badger,0.5,Medium,Beast,,Misc Creatures,unaligned,"forest, grassland",10,13,0,,,,"Basic Rules v1: 23, Monster Manual: 323"
mm.giant-bat,Giant Bat,0.5,Large,Beast,,Misc Creatures,unaligned,"cave, dungeon, forest, ruins, swamp, underground",13,22,3,,,,"Basic Rules v1: 23, Monster Manual: 323"
mm.giant-boar,Giant Boar,2,Large,Beast,,Misc Creatures,unaligned,"forest, grassland",12,42,0,,,,"Basic Rules v1: 23, Monster Manual: 323"
