name	cr	size	type	tags	alignment	environment	ac	hp	init	legendary?	unique?	sources
Dragonfang	5	Medium	Humanoid	Human	neutral evil	"dungeon, urban"	15	78	3			Rise of Tiamat: 89
Dragonsoul	7	Medium	Humanoid	Human	neutral evil	"dungeon, urban"	16	110	4			Rise of Tiamat: 89
Dragonwing	2	Medium	Humanoid	Human	neutral evil	"dungeon, urban"	14	32	3			Hoard of the Dragon Queen: 89
Dragonwing	2	Medium	Humanoid	Human	neutral evil	"dungeon, urban"	14	33	3			Rise of Tiamat: 90
Dralmorrer Borngray	3	Medium	Humanoid	High-elf	neutral evil		16	52	2		unique	Hoard of the Dragon Queen: 90
Drannin Splithelm	7	Medium	Humanoid	Shield dwarf	neutral evil		18	93	0		unique	Princes of the Apocalypse: 210
Dread Warrior	1	Medium	Undead		neutral evil		18	37	0			Tales from the Yawning Portal: 233
Dretch	0.5	Small	Fiend	Demon	chaotic evil	"dungeon, planar"	11	18	0			Monster Manual: 57
Drider	6	Large	Monstrosity		chaotic evil	"dungeon, underground"	19	123	3			Monster Manual: 120
Droki	2	Small	Humanoid	Derro	chaotic evil		15	31	3		unique	Out of the Abyss: 231
Drow	0.5	Medium	Humanoid	Elf	neutral evil	"dungeon, underground, urban"	15	13	2			Monster Manual: 128
Drow Arachnomancer	13	Medium	Humanoid	Elf	chaotic evil	"underground, urban"	15	162	3			Mordenkainen's Tome of Foes: 182
Drow Elite Warrior	5	Medium	Humanoid	Elf	neutral evil	"dungeon, underground, urban"	18	71	4			Monster Manual: 128
Drow Favored Consort	18	Medium	Humanoid	Elf	chaotic evil	"underground, urban"	15	225	5			Mordenkainen's Tome of Foes: 183
Drow House Captain	9	Medium	Humanoid	Elf	chaotic evil	"underground, urban"	16	162	4			Mordenkainen's Tome of Foes: 184
Drow Inquisitor	14	Medium	Humanoid	Elf	chaotic evil	"underground, urban"	16	143	2			Mordenkainen's Tome of Foes: 184
Drow Mage	7	Medium	Humanoid	Elf	neutral evil	"dungeon, underground, urban"	12	45	2			"Monster Manual: 129, Princes of the Apocalypse Online Supplement v1.0: 15"
Drow Matron Mother	20	Medium	Humanoid	Elf	chaotic evil	"underground, urban"	17	262	4	legendary		Mordenkainen's Tome of Foes: 186
Drow Priestess of Lolth	8	Medium	Humanoid	Elf	neutral evil	"dungeon, underground, urban"	16	71	2			Monster Manual: 129
Drow Shadowblade	11	Medium	Humanoid	Elf	chaotic evil	"underground, urban"	17	150	5			Mordenkainen's Tome of Foes: 187
Drow Spore Servant	0.125	Medium	Plant		unaligned		15	13	2			Out of the Abyss: 229
Druid	2	Medium	Humanoid	any	any	"arctic, cave, coast, desert, forest, grassland, mountain, swamp, underground"	11	27	1			"Monster Manual: 346, Princes of the Apocalypse Online Supplement v1.0: 15"
Dryad	1	Medium	Fey		neutral	forest	11	22	1			Monster Manual: 121
Duergar	1	Medium	Humanoid	Dwarf	lawful evil	"dungeon, underground"	16	26	0			"Monster Manual: 122, Princes of the Apocalypse Online Supplement v1.0: 16"
Duergar Despot	12	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	21	119	-3			Mordenkainen's Tome of Foes: 188
Duergar Hammerer	2	Medium	Construct		lawful evil	"underground, urban"	17	33	-2			Mordenkainen's Tome of Foes: 188
Duergar Kavalrachni	2	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	16	26	0			Mordenkainen's Tome of Foes: 189
Duergar Mind Master	2	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	14	39	3			Mordenkainen's Tome of Foes: 189
Duergar Screamer	3	Medium	Construct		lawful evil	"underground, urban"	15	38	-2			Mordenkainen's Tome of Foes: 190
Duergar Soulblade	1	Medium	Humanoid	Dwarf	lawful evil		14	18	3			Out of the Abyss: 227
Duergar Soulblade	1	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	14	18	3			Mordenkainen's Tome of Foes: 190
Duergar Spore Servant	0.25	Medium	Plant		unaligned		16	26	0			Out of the Abyss: 229
Duergar Spy	2	Medium	Humanoid	Dwarf	lawful evil		15	33	3			Tales from the Yawning Portal: 234
Duergar Stone Guard	2	Medium	Humanoid	Dwarf	lawful evil		18	39	0			Out of the Abyss: 227
Duergar Stone Guard	2	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	18	39	0			Mordenkainen's Tome of Foes: 191
Duergar Warlord	6	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	20	75	0			Mordenkainen's Tome of Foes: 192
Duergar Xarrorn	2	Medium	Humanoid	Dwarf	lawful evil		18	26	0			Out of the Abyss: 228
Duergar Xarrorn	2	Medium	Humanoid	Dwarf	lawful evil	"underground, urban"	18	26	0			Mordenkainen's Tome of Foes: 193
Duodrone	0.5	Medium	Construct		lawful neutral	planar	15	11	1			Monster Manual: 225
Dust Mephit	0.25	Small	Elemental		neutral evil	"dungeon, planar, ruins, urban"	12	17	2			"Monster Manual: 215, Princes of the Apocalypse Online Supplement v1.0: 16"
Dybbuk	4	Medium	Fiend	Demon	chaotic evil	planar	14	37	4			Mordenkainen's Tome of Foes: 132
Eagle	0	Small	Beast		unaligned	"arctic, grassland, mountain"	12	3	2			"Basic Rules v1: 17, Monster Manual: 322"
Earth Elemental	5	Large	Elemental		neutral	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	17	126	-1			"Basic Rules v1: 17, Monster Manual: 124"
Earth Elemental Myrmidon	7	Medium	Elemental		neutral	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	18	127	0			Princes of the Apocalypse: 212
Earth Elemental Myrmidon	7	Medium	Elemental		neutral	planar	18	127	0			Mordenkainen's Tome of Foes: 202
Eblis	1	Large	Monstrosity		neutral evil		13	26	3			Tomb of Annihilation: 219
Efreeti	11	Large	Elemental		lawful evil	"desert, dungeon, mountain, planar"	17	200	1			"Monster Manual: 145, Princes of the Apocalypse Online Supplement v1.0: 16"
Eidolon	12	Medium	Undead		any	"dungeon, ruins"	9	63	-1			Mordenkainen's Tome of Foes: 194
Elder Brain	14	Large	Aberration		lawful evil	underground	10	210	0			Volo's Guide to Monsters: 173
Elder Oblex	10	Huge	Ooze		lawful evil	underground	16	115	3			Mordenkainen's Tome of Foes: 219
Elder Tempest	23	Gargantuan	Elemental		neutral	planar	19	264	9	legendary		Mordenkainen's Tome of Foes: 200
Elephant	4	Huge	Beast		unaligned	grassland	12	76	-1			"Basic Rules v1: 18, Monster Manual: 322"
Elizar Dryflagon	5	Medium	Humanoid	Human	chaotic evil		14	71	2		unique	Princes of the Apocalypse: 202
Elk	0.5	Large	Beast		unaligned	"forest, grassland"	10	13	0			"Basic Rules v1: 18, HotDQ supplement: 8, Monster Manual: 322"
Empyrean	23	Huge	Celestial	Titan	chaotic good (75%) or neutral evil (25%)	planar	22	313	5	legendary		Monster Manual: 130
Enchanter	5	Medium	Humanoid	Any Race	any	urban	12	40	2			"Volo's Guide to Monsters: 213, Tales from the Yawning Portal: 234"
Erinyes	12	Medium	Fiend	Devil	lawful evil	"dungeon, planar"	18	153	3			Monster Manual: 73
Eternal Flame Guardian	2	Medium	Humanoid	Human	chaotic evil	"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"	17	45	1			Princes of the Apocalypse: 200
Eternal Flame Priest	3	Medium	Humanoid	Human	neutral evil	"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"	12	52	2			Princes of the Apocalypse: 200
Ettercap	2	Medium	Monstrosity		neutral evil	"cave, dungeon, forest, ruins, swamp, underground"	13	44	2			"HotDQ supplement: 9, Monster Manual: 131"
Ettin	4	Large	Giant		chaotic evil	"cave, grassland, mountain, swamp"	12	85	-1			"Monster Manual: 132, Princes of the Apocalypse Online Supplement v1.0: 17"
Evoker	9	Medium	Humanoid	Any Race	any	urban	12	66	2			"Volo's Guide to Monsters: 214, Tales from the Yawning Portal: 235"
Ezmerelda d'Avenir	8	Medium	Humanoid	Human	chaotic good		17	82	4			Curse of Strahd: 231
Faerie Dragon (blue)	2	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Faerie Dragon (green)	2	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Faerie Dragon (indigo)	2	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Faerie Dragon (orange)	1	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Faerie Dragon (red)	1	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Faerie Dragon (violet)	2	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Faerie Dragon (yellow)	1	Tiny	Dragon		chaotic good	"forest, grassland, mountain, ruins, swamp"	15	14	5			Monster Manual: 133
Fathomer	2	Medium	Humanoid	Human	neutral evil	"aquatic, cave, coast, grassland, swamp, underground"	10	52	0			Princes of the Apocalypse: 207
Feathergale knight	1	Medium	Humanoid	Human	lawful evil	"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins"	16	33	2			Princes of the Apocalypse: 189
Female Steeder	1	Large	Beast		unaligned		14	30	3			Out of the Abyss: 231
Female Steeder	1	Large	Monstrosity		unaligned	"cave, underground"	14	30	3			Mordenkainen's Tome of Foes: 238
Fire Elemental	5	Large	Elemental		neutral	"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, underground"	13	102	3			"Basic Rules v1: 18, Monster Manual: 125"
Fire Elemental Myrmidon	7	Medium	Elemental		neutral	"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, swamp, underground, urban"	18	117	4			Princes of the Apocalypse: 213
Fire Elemental Myrmidon	7	Medium	Elemental		neutral	planar	18	123	4			Mordenkainen's Tome of Foes: 203
Fire Giant	9	Huge	Giant		lawful evil	"mountain, planar"	18	162	-1			"Basic Rules v1: 19, Monster Manual: 154"
Fire Giant Dreadnought	14	Huge	Giant	Fire Giant	lawful evil	"mountain, underground"	21	187	-1			Volo's Guide to Monsters: 147
Fire Snake	1	Medium	Elemental		neutral evil	"forest, planar"	14	22	2			"Monster Manual: 265, Princes of the Apocalypse Online Supplement v1.0: 17"
Firenewt Warlock of Imix	1	Medium	Humanoid	Firenewt	neutral evil	"grassland, mountain, underground"	10	33	0			"Volo's Guide to Monsters: 143, Tomb of Annihilation: 219"
Firenewt Warrior	0.25	Medium	Humanoid	Firenewt	neutral evil	"grassland, mountain, underground"	16	22	1			"Volo's Guide to Monsters: 142, Tomb of Annihilation: 219"
Flail Snail	3	Large	Elemental		unaligned	"forest, swamp, underground"	16	52	-3			"Volo's Guide to Monsters: 144, Tomb of Annihilation: 220"
Flameskull	4	Tiny	Undead		neutral evil	"dungeon, ruins"	13	40	3			"Basic Rules v1: 19, Monster Manual: 134"
Flamewrath	6	Medium	Humanoid	Human	chaotic evil	"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"	12	105	2			Princes of the Apocalypse: 201
Flesh Golem	5	Medium	Construct		unaligned	"dungeon, ruins"	9	93	-1			"Basic Rules v1: 20, Monster Manual: 169"
Flind	9	Medium	Humanoid	Gnoll	chaotic evil	"arctic, forest, grassland"	16	127	0			Volo's Guide to Monsters: 153
Flumph	0.125	Small	Aberration		lawful good	"dungeon, underground"	12	7	2			Monster Manual: 135
Flying Monkey	0	Small	Beast		unaligned		12	3	2			Tomb of Annihilation: 220
Flying Snake	0.125	Tiny	Beast		unaligned	"forest, swamp"	14	5	4			"Basic Rules v1: 20, Monster Manual: 322"
Flying Sword	0.5	Small	Construct		unaligned	"dungeon, ruins, urban"	17	17	2			"Basic Rules v1: 20, Monster Manual: 20"
Fomorian	8	Huge	Giant		chaotic evil	"cave, underground"	14	149	0			Monster Manual: 136
Fraz-Urb'luu	23	Large	Fiend	Demon	chaotic evil		18	350	1	legendary	unique	Out of the Abyss: 238
Fraz-Urb'luu	23	Large	Fiend	Demon	chaotic evil	planar	18	337	1	legendary	unique	Mordenkainen's Tome of Foes: 146
Fraz-Urb'luu (in lair)	24	Large	Fiend	Demon	chaotic evil	planar	18	337	1	legendary	unique	Mordenkainen's Tome of Foes: 146
Frog	0	Tiny	Beast		unaligned	"aquatic, coast, forest, swamp"	11	1	1			"Basic Rules v1: 21, Monster Manual: 322, Player's Handbook: 305"
Froghemoth	10	Huge	Monstrosity		unaligned	"swamp, underground"	14	184	1			"Volo's Guide to Monsters: 145, Tomb of Annihilation: 221"
Frost Giant	8	Huge	Giant		neutral evil	"arctic, mountain, planar"	15	138	-1			"Basic Rules v1: 21, Monster Manual: 155"
Frost Giant Everlasting One	12	Huge	Giant	Frost Giant	chaotic evil	"arctic, coast"	15	189	-1			Volo's Guide to Monsters: 148
Frost Salamander	9	Huge	Elemental		unaligned	planar	17	168	1			Mordenkainen's Tome of Foes: 223
Frulam Mondath	2	Medium	Humanoid	Human	lawful evil		16	44	0		unique	Hoard of the Dragon Queen: 90
Galeb Duhr	6	Medium	Elemental		neutral	"cave, dungeon, mountain, planar, underground"	16	85	2			"Monster Manual: 139, Princes of the Apocalypse Online Supplement v1.0: 17"
Gar Shatterkeel	9	Medium	Humanoid	Human	chaotic evil		16	112	2		unique	Princes of the Apocalypse: 208
Gar Shatterkeel (in lair)	13	Medium	Humanoid	Human	chaotic evil		16	112	2		unique	Princes of the Apocalypse: 208
Gargoyle	2	Medium	Elemental		chaotic evil	"dungeon, urban"	15	52	0			"Basic Rules v1: 21, HotDQ supplement: 9, Monster Manual: 140"
Gas Spore	0.25	Large	Plant		unaligned	"cave, dungeon, underground"	5	1	-5			Monster Manual: 138
Gauth	6	Medium	Aberration		lawful evil	underground	15	67	2			Volo's Guide to Monsters: 125
Gazer	0.25	Tiny	Aberration		neutral evil	underground	13	13	3			Volo's Guide to Monsters: 126
Gelatinous Cube	2	Large	Ooze		unaligned	dungeon	6	84	-4			Monster Manual: 242
Geonid	0.5	Small	Elemental		neutral	cave	17	26	0			The Tortle Package: 22
Geryon	22	Huge	Fiend	Devil	lawful evil	planar	19	300	3	legendary	unique	Mordenkainen's Tome of Foes: 173
Ghald	7	Medium	Humanoid	Sahuagin	lawful evil		15	102	3		unique	Princes of the Apocalypse: 210
Ghast	2	Medium	Undead		chaotic evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	13	36	3			"Monster Manual: 148, Princes of the Apocalypse Online Supplement v1.0: 18"
Ghost	4	Medium	Undead		any	"cave, dungeon, ruins, swamp, underground, urban"	11	45	1			"Basic Rules v1: 22, Monster Manual: 147"
Ghoul	1	Medium	Undead		chaotic evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	12	22	2			"Basic Rules v1: 22, Monster Manual: 148"
Giant Ape	7	Huge	Beast		unaligned	forest	12	157	2			"Basic Rules v1: 22, Monster Manual: 323"
Giant Badger	0.5	Medium	Beast		unaligned	"forest, grassland"	10	13	0			"Basic Rules v1: 23, Monster Manual: 323"
Giant Bat	0.5	Large	Beast		unaligned	"cave, dungeon, forest, ruins, swamp, underground"	13	22	3			"Basic Rules v1: 23, Monster Manual: 323"
Giant Boar	2	Large	Beast		unaligned	"forest, grassland"	12	42	0			"Basic Rules v1: 23, Monster Manual: 323"
Giant Centipede	0.5	Small	Beast		unaligned	"cave, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground"	13	4	2			"Basic Rules v1: 23, HotDQ supplement: 9, Monster Manual: 323"
Giant Constrictor Snake	2	Huge	Beast		unaligned	"forest, grassland, swamp"	12	60	2			"Basic Rules v1: 24, Monster Manual: 324"
Giant Crab	0.125	Medium	Beast		unaligned	"aquatic, coast"	15	13	2			"Basic Rules v1: 24, Monster Manual: 324"
Giant Crayfish	2	Large	Beast		unaligned		15	45	1			Tales from the Yawning Portal: 235
Giant Crocodile	5	Huge	Beast		unaligned	"aquatic, coast, swamp"	14	85	-1			"Basic Rules v1: 24, Monster Manual: 324"
Giant Eagle	1	Large	Beast		neutral good	"grassland, mountain"	13	26	3			"Basic Rules v1: 24, Monster Manual: 324, Player's Handbook: 306"
Giant Elk	2	Huge	Beast		unaligned	"forest, grassland"	14	42	3			"Basic Rules v1: 25, Monster Manual: 325"
Giant Fire Beetle	0	Small	Beast		unaligned	"cave, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground"	13	4	0			"Basic Rules v1: 25, Monster Manual: 325"
Giant Four-Armed Gargoyle	10	Large	Elemental		chaotic evil		17	147	0			Tomb of Annihilation: 221
Giant Frog	0.5	Medium	Beast		unaligned	"aquatic, coast, forest, swamp"	11	18	1			"Basic Rules v1: 25, HotDQ supplement: 10, Monster Manual: 325"
Giant Goat	0.25	Large	Beast		unaligned	"forest, grassland, mountain"	11	19	0			"Basic Rules v1: 25, Monster Manual: 326"
Giant Hyena	1	Large	Beast		unaligned	"coast, desert, forest, grassland"	12	45	2			"Basic Rules v1: 26, Monster Manual: 326"
Giant Ice Toad	3	Large	Monstrosity		neutral		14	52	1			Tales from the Yawning Portal: 235
Giant Lightning Eel	3	Large	Beast		unaligned		13	42	3			Tales from the Yawning Portal: 236
Giant Lizard	0.5	Large	Beast		unaligned	"cave, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground"	12	19	1			"Basic Rules v1: 26, HotDQ supplement: 10, Monster Manual: 326"
Giant Octopus	1	Large	Beast		unaligned	aquatic	11	52	1			"Basic Rules v1: 26, Monster Manual: 326"
Giant Owl	0.5	Large	Beast		neutral	"forest, grassland, urban"	12	19	2			"Basic Rules v1: 26, Monster Manual: 327"
Giant Poisonous Snake	0.5	Medium	Beast		unaligned	"forest, grassland, swamp"	14	11	4			"Basic Rules v1: 27, Monster Manual: 327"
Giant Rat	0.125	Small	Beast		unaligned	"cave, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	12	7	2			"Basic Rules v1: 27, Monster Manual: 327"
Giant Scorpion	3	Large	Beast		unaligned	"cave, coast, desert, dungeon, grassland, ruins, swamp, underground"	15	52	1			"Basic Rules v1: 27, Monster Manual: 327"
Giant Sea Horse	0.25	Large	Beast		unaligned	aquatic	13	16	2			"Basic Rules v1: 27, Monster Manual: 328"
Giant Shark	5	Huge	Beast		unaligned	aquatic	13	126	0			"Basic Rules v1: 28, Monster Manual: 328"
Giant Skeleton	7	Huge	Undead		neutral evil		17	115	0			Tales from the Yawning Portal: 236
Giant Snapping Turtle	3	Large	Beast		unaligned		17	75	0			Tomb of Annihilation: 222
Giant Spider	1	Large	Beast		unaligned	"cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	14	26	3			"Basic Rules v1: 28, HotDQ supplement: 10, Monster Manual: 328, Player's Handbook: 306"
Giant Strider	1	Large	Monstrosity		neutral evil	"grassland, mountain, underground"	14	22	1			"Volo's Guide to Monsters: 143, Tomb of Annihilation: 222"
Giant Subterranean Lizard	4	Huge	Beast		unaligned		14	66	-1			Tales from the Yawning Portal: 236
Giant Toad	1	Large	Beast		unaligned	"aquatic, coast, forest, swamp"	11	39	1			"Basic Rules v1: 28, Monster Manual: 329"
Giant Vulture	1	Large	Beast		neutral evil	"desert, grassland, ruins"	10	22	13			"Basic Rules v1: 29, Monster Manual: 329"
Giant Wasp	0.25	Medium	Beast		unaligned	forest	12	13	2			"Basic Rules v1: 29, Monster Manual: 329"
Giant Weasel	0.125	Medium	Beast		unaligned	"forest, grassland"	13	9	3			"Basic Rules v1: 29, Monster Manual: 329"
Giant Wolf Spider	0.5	Medium	Beast		unaligned	"cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	13	11	3			"Basic Rules v1: 29, Monster Manual: 330"
Gibbering Mouther	2	Medium	Aberration		neutral	"cave, dungeon, planar, underground"	9	67	-1			Monster Manual: 157
Giff	3	Medium	Humanoid		lawful neutral		16	60	2			Mordenkainen's Tome of Foes: 204
Girallon	4	Large	Monstrosity		unaligned	forest	13	59	3			"Volo's Guide to Monsters: 152, Tomb of Annihilation: 222"
Girallon Zombie	3	Large	Undead		chaotic evil		11	59	1			Tomb of Annihilation: 240
Githyanki Gish	10	Medium	Humanoid	Gith	lawful evil	planar	17	123	2			Mordenkainen's Tome of Foes: 205
Githyanki Kith'rak	12	Medium	Humanoid	Gith	lawful evil	planar	18	180	3			Mordenkainen's Tome of Foes: 205
Githyanki Knight	8	Medium	Humanoid	Gith	lawful evil	"planar, swamp"	18	91	2			Monster Manual: 160
Githyanki Supreme Commander	14	Medium	Humanoid	Gith	lawful evil	planar	18	187	3	legendary		Mordenkainen's Tome of Foes: 206
Githyanki Warrior	3	Medium	Humanoid	Gith	lawful evil	planar	17	49	2			Monster Manual: 160
Githzerai Anarch	16	Medium	Humanoid	Gith	lawful neutral	planar	20	144	5	legendary		Mordenkainen's Tome of Foes: 207
Githzerai Enlightened	10	Medium	Humanoid	Gith	lawful neutral	planar	18	112	4			Mordenkainen's Tome of Foes: 208
Githzerai Monk	2	Medium	Humanoid	Gith	lawful neutral	planar	14	38	2			Monster Manual: 161
Githzerai Zerth	6	Medium	Humanoid	Gith	lawful neutral	planar	17	84	4			Monster Manual: 161
Glabrezu	9	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	17	157	2			Monster Manual: 58
Gladiator	5	Medium	Humanoid	any	any	urban	16	112	2			Monster Manual: 346
Gloom Weaver	9	Medium	Humanoid	Elf	neutral	"planar, urban"	14	104	4			Mordenkainen's Tome of Foes: 224
Gnoll	0.25	Medium	Humanoid	Gnoll	chaotic evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	15	22	1			"Basic Rules v1: 30, Monster Manual: 163"
Gnoll Fang of Yeenoghu	4	Medium	Fiend	Gnoll	chaotic evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	14	65	2			Monster Manual: 163
Gnoll Flesh Gnawer	1	Medium	Humanoid	Gnoll	chaotic evil	"arctic, forest, grassland"	14	22	2			Volo's Guide to Monsters: 154
Gnoll Hunter	0.25	Medium	Humanoid	Gnoll	chaotic evil	"arctic, forest, grassland"	13	22	2			Volo's Guide to Monsters: 154
Gnoll Pack Lord	2	Medium	Humanoid	Gnoll	chaotic evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	15	49	2			"Monster Manual: 163, Princes of the Apocalypse Online Supplement v1.0: 18"
Gnoll Witherling	0.5	Medium	Undead		chaotic evil	"arctic, forest, grassland"	12	11	-1			Volo's Guide to Monsters: 155
Goat	0	Medium	Beast		unaligned	"grassland, urban"	10	4	0			"Basic Rules v1: 30, Monster Manual: 330"
Goblin	0.5	Small	Humanoid	Goblinoid	neutral evil	"cave, dungeon, forest, grassland, mountain, ruins, urban"	15	7	2			"Basic Rules v1: 30, Monster Manual: 166"
Goblin Boss	1	Small	Humanoid	Goblinoid	neutral evil	"cave, dungeon, forest, grassland, mountain, ruins, urban"	17	21	2			Monster Manual: 166
Gold Dragon Wyrmling	3	Medium	Dragon		lawful good	"mountain, ruins"	17	60	2			Monster Manual: 115
Gorgon	5	Large	Monstrosity		unaligned	"mountain, ruins"	19	114	0			Monster Manual: 171
Goristro	17	Huge	Fiend	Demon	chaotic evil	"dungeon, planar"	19	310	0			Monster Manual: 59
Gray Ooze	0.25	Medium	Ooze		unaligned	dungeon	8	22	-2			"HotDQ supplement: 11, Monster Manual: 243"
Gray Render	12	Large	Monstrosity		chaotic neutral	urban	19	189	1			Mordenkainen's Tome of Foes: 209
Gray Slaad	9	Medium	Aberration		chaotic neutral	planar	18	127	3			Monster Manual: 277
Graz'zt	24	Large	Fiend	"Demon, Shapechanger"	chaotic evil		20	378	2	legendary	unique	Out of the Abyss: 241
Graz'zt	24	Large	Fiend	Demon	chaotic evil	planar	20	346	2	legendary	unique	Mordenkainen's Tome of Foes: 149
Greater Zombie	5	Medium	Undead		neutral evil		15	97	0			Tales from the Yawning Portal: 237
Green Abishai	15	Medium	Fiend	Devil	lawful evil	planar	18	187	3			Mordenkainen's Tome of Foes: 162
Green Dragon Wyrmling	2	Medium	Dragon		lawful evil	forest	17	38	1			Monster Manual: 95
Green Hag	3	Medium	Fey		neutral evil	"forest, swamp"	17	82	1			Monster Manual: 177
Green Hag (coven)	5	Medium	Fey		neutral evil	"forest, swamp"	17	82	1			Monster Manual: 177
Green Slaad	8	Large	Aberration		chaotic neutral	planar	16	127	2			Monster Manual: 277
Grell	3	Medium	Aberration		neutral evil	"dungeon, underground"	12	55	2			"Monster Manual: 172, Princes of the Apocalypse Online Supplement v1.0: 18"
Grick	2	Medium	Monstrosity		neutral	"cave, dungeon, underground"	14	27	2			"Basic Rules v1: 30, Monster Manual: 173"
Grick Alpha	7	Large	Monstrosity		neutral	"cave, dungeon, underground"	18	75	3			Monster Manual: 173
Griffon	2	Large	Monstrosity		unaligned	"arctic, coast, grassland, mountain"	12	59	2			"Basic Rules v1: 31, HotDQ supplement: 11, Monster Manual: 174"
Grimlock	0.5	Medium	Humanoid	Grimlock	neutral evil	"cave, dungeon, underground"	11	11	1			Monster Manual: 175
Grisha	2	Medium	Humanoid	Damaran Human	chaotic evil		18	33	1		unique	Out of the Abyss: 232
Grung	0.5	Small	Humanoid	Grung	lawful evil	forest	12	11	2			"Volo's Guide to Monsters: 156, Tomb of Annihilation: 223"
Grung Elite Warrior	2	Small	Humanoid	Grung	lawful evil	forest	13	49	3			"Volo's Guide to Monsters: 157, Tomb of Annihilation: 223"
Grung Wildling	1	Small	Humanoid	Grung	lawful evil	forest	13	27	3			"Volo's Guide to Monsters: 157, Tomb of Annihilation: 224"
Guard	0.125	Medium	Humanoid	any	any	urban	16	11	1			"Basic Rules v1: 54, HotDQ supplement: 11, Monster Manual: 347"
Guard Drake	2	Medium	Dragon		unaligned	"dungeon, urban"	14	52	0			"Hoard of the Dragon Queen: 91, Rise of Tiamat: 90, Volo's Guide to Monsters: 158"
Guardian Naga	10	Large	Monstrosity		lawful good	"cave, coast, forest, ruins"	15	75	3			Monster Manual: 234
Guardian Portrait	1	Medium	Construct		unaligned		5	22	-5			Curse of Strahd: 227
Gynosphinx	11	Large	Monstrosity		lawful neutral	"dungeon, ruins"	17	136	2	legendary		Monster Manual: 282
Hadrosaurus	0.5	Large	Beast		unaligned	"grassland, swamp"	11	19	0			"Volo's Guide to Monsters: 140, Tomb of Annihilation: 224"
Half-Ogre	1	Large	Giant		chaotic evil	"arctic, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	12	30	0			"Monster Manual: 238, Princes of the Apocalypse Online Supplement v1.0: 19"
Half-Red Dragon Veteran	5	Medium	Humanoid	Human	any	"arctic, coast, desert, grassland, mountain, urban"	18	65	1			Monster Manual: 180
Harpy	1	Medium	Monstrosity		chaotic evil	"coast, forest, mountain"	11	38	1			"Basic Rules v1: 31, Monster Manual: 181"
Hawk	0	Tiny	Beast		unaligned	"grassland, mountain"	13	1	3			"Basic Rules v1: 31, Monster Manual: 330, Player's Handbook: 306"
Hell Hound	3	Medium	Fiend		lawful evil	"dungeon, planar, urban"	15	45	1			"Basic Rules v1: 32, Monster Manual: 182"
Hellenrae	5	Medium	Humanoid	Human	neutral evil		16	78	4		unique	Princes of the Apocalypse: 198
Hellfire Engine	16	Huge	Construct		lawful evil	planar	18	216	3			Mordenkainen's Tome of Foes: 165
Helmed Horror	4	Medium	Construct		neutral	"dungeon, ruins, urban"	20	60	1			"HotDQ supplement: 11, Monster Manual: 183, Princes of the Apocalypse Online Supplement v1.0: 19"
Hezrou	8	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	16	136	3			"Monster Manual: 60, Princes of the Apocalypse Online Supplement v1.0: 19"
